# ----------------------------------------
# E-commerce purchases: Item name
# Account: Twin Birds UA
# Property: Twin Birds GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251101
# End date: 20260505
Item name,Items viewed,Items added to cart,Items purchased,Item revenue
Saree Shaper - Gold Mine - S / Gold Mine / Regular - Upto 5'4,85129,130,0,0
Viscose Kurti Pant - Black,72752,3923,23,13777.000141
Viscose Kurti Pant - White,69840,2618,12,7188.000003
Saree Shaper - Gold Mine,49058,1589,6,5393.999927
Viscose Kurti Pant - White - S / White,46486,137,0,0
Viscose Kurti Pant - Pink - S / Pink Paradise,40932,46,0,0
Saree Shaper - Pink Champagne - S / Pink Champagne / Regular - Upto 5'4,39857,304,0,0
Viscose Kurti Pant - White - L / White,36121,379,0,0
Viscose Kurti Pant - Black - S / Black,35347,232,0,0
Saree Shaper - Pink Champagne,32159,1671,15,13484.999795
Viscose Kurti Pant - Anthrazite Grey,29680,1066,9,5391.000038
Cotton Kurti Pant - Caramel Custard - S / Caramel Custard,28699,22,0,0
Viscose Kurti Pant - Pink,27324,798,2,1198.000018
Viscose Kurti Pant - Stone Green - S / Stone Green,27254,28,0,0
Viscose Kurti Pant - Stone Green,26299,913,3,1797.000035
Viscose Kurti Pant - Mehandi Maroon - L / Mehandi Maroon,25091,192,0,0
Flexi Kurti Pant - Olive - S / Olive,22377,14,0,0
Viscose Kurti Pant - Off White,20857,2017,14,8386.000071
Saree Shaper - Pearly Vanilla,19684,973,6,5393.999961
Saree Shaper - Gold Dust - S / Gold Dust / Regular - Upto 5'4,18790,64,0,0
Cotton Kurti Pant - Caramel Custard,17207,190,0,0
Saree Shaper - Pearly Vanilla - S / Pearly Vanilla / Regular - Upto 5'4,16324,209,0,0
Metallic Straight Pant - Metallic White - S / Metallic White,16078,33,0,0
Viscose Kurti Pant - Anthrazite Grey - L / Anthrazite Grey,15975,144,0,0
Saree Shaper - Black Pearl,15932,1464,8,7192.000033
Viscose Kurti Pant - Mehandi Maroon,15886,765,5,2994.999979
Saree Shaper - Desert Dazzle - S / Desert Dazzle / Regular - Upto 5'4,15721,96,0,0
Saree Shaper - Black Pearl - S / Black Pearl / Regular -Upto 5'4,15564,139,0,0
Saree Shaper - Red Velvet - S / Red Velvet / Regular - Upto 5'4,15501,131,0,0
Saree Shaper - Pearly Vanilla - 2XL / Pearly Vanilla / Regular - Upto 5'4,15335,304,0,0
Shimmer Legging - Desert Dazzle - S / Desert Dazzle,14436,49,0,0
Viscose Kurti Pant - Black - L / Black,13971,525,0,0
Viscose Kurti Pant - ButterScotch - S / ButterScotch,13730,54,0,0
Cotton Stretch Straight Pant - Anthrazite Grey - S / Anthrazite Grey,13527,13,0,0
Viscose Kurti Pant - Off White - S / Off White,13458,83,0,0
Sleek Kurti Pant - Lip Stick - S / Lip Stick,12962,9,0,0
Viscose Kurti Pant - ButterScotch,12487,1205,10,5990.000018
Viscose Kurti Pant - Mehandi Maroon - S / Mehandi Maroon,12326,42,0,0
Cotton Ankle Legging - Amber Flower - S / Amber Flower,12171,78,0,0
Solid Wide Leg Palazzo - Pearl White - S / Pearl White,12137,83,0,0
Viscose Kurti Pant - Caramel Custard,11888,551,2,1197.999984
Flexi Kurti Pant - Olive,11798,124,0,0
Viscose Kurti Pant - Caramel Custard - S / Caramel Custard,11667,21,0,0
Metallic Straight Pant - Honey Dew - S / Honey Dew,11496,24,0,0
Straight Fit Saree Shaper - Pink Champagne - S / Pink Champagne,11355,38,0,0
Viscose Kurti Pant - Caramel Custard - L / Caramel Custard,11092,72,0,0
