# ----------------------------------------
# Events: Event name
# Account: Twin Birds UA
# Property: Twin Birds GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251101
# End date: 20260505
Event name,Event count,Total users,Event count per active user,Total revenue
page_view,5387178,1079283,5.04484018957559,0
user_engagement,3094227,625723,4.950723594211246,0
view_item,2973383,790411,3.8036030435138564,0
session_start,1637647,1077969,1.5354044196926655,0
first_visit,1013871,1013068,1.0007926417575128,0
scroll,951727,384001,2.519802805938062,0
form_start,453815,189740,2.395623828753926,0
add_to_cart,183617,72845,2.5213110702221733,0
view_search_results,133197,55016,2.4218957397676237,0
view_item_list,86098,51871,1.6935423592124157,0
search,75291,22853,3.2955878490764245,0
begin_checkout,60950,41416,1.4921901777407824,0
magic_checkout_requested,57297,39771,1.4599821633329086,0
without_coupons_continue_clicked,48176,26176,1.8659126999496496,0
saved_address_selected,38154,24070,1.605470229328845,0
form_submit,37956,22202,1.7095757138996486,0
add_payment_info,35738,22625,1.5993018884811598,0
pay_now_clicked,34830,22264,1.5837577300836667,0
payment_method_selected,25879,15971,1.6425896540780704,0
purchase,23131,20891,1.1235185544977657,26491848.009072
payment_successful,20867,18867,1.1213391369767316,0
login_success,20774,20039,1.0527009222661396,0
add_shipping_info,15066,12320,1.2405104981473858,0
click,13115,4397,2.9833939945404913,0
address_entered,9570,8007,1.2149295417036943,0
addnew_address_continue_clicked,9566,8012,1.2133434804667682,0
view_cart,5238,2703,1.94,0
saved_address_continue_clicked,4792,4183,1.163106796116505,0
coupon_manually_entered,4668,3052,1.5549633577614923,0
payment_failed,2862,1102,2.640221402214022,0
login_failed,2846,649,4.426127527216174,0
coupons_applied_failed,1043,523,2.0252427184466018,0
coupons_applied_success,367,260,1.4563492063492063,0
with_coupons_continue_clicked,175,118,1.5350877192982457,0
move_to_cart,134,67,2,0
select_promotion,5,5,1.25,0
