# End date: 20260505
First user primary channel group (Default channel group),New users,Total revenue,Transactions,Average 120d value
Cross-network,430806,6126255.001948,5466,14.22008649135944
Organic Social,260654,6849342.003713,6249,26.276416103861276
Organic Shopping,84451,2509416.001062,2628,29.711998875914656
Direct,61827,3630599.999149,2810,58.7133708381687
Paid Shopping,52709,1583580.999056,1496,30.043844486823883
Organic Search,40563,1418383.001523,1000,34.964822795518415
Unassigned,30956,876160.000051,828,28.30339837353017
Paid Search,30108,2858749.002133,2085,94.92459165005313
Paid Social,17902,510809.999989,460,28.532089593308385
Display,2509,648.000054,2,0.2582702487046632
Referral,798,103736.00033,94,129.99498788220552
Organic Video,358,18976.999996,9,53.00837987709497
Email,105,2396.000016,1,22.81904777142857
Paid Video,53,1846.000061,2,34.83018983018868
Paid Other,23,949.000032,1,41.26087095652174
