# All Users
# Start date: 20251101
# End date: 20260505
First user primary channel group (Default channel group),New leads,Qualified leads,Converted leads,User key event rate
Cross-network,0,0,0,0.011002893984583116
Direct,0,0,0,0.03574664107485605
Display,0,0,0,0.0007987220447284345
Email,0,0,0,0.009259259259259259
Organic Search,0,0,0,0.02084960359720743
Organic Shopping,0,0,0,0.023631380102229795
Organic Social,0,0,0,0.02117684853827821
Organic Video,0,0,0,0.017412935323383085
Paid Other,0,0,0,0.04
Paid Search,0,0,0,0.05702368629361262
Paid Shopping,0,0,0,0.024168478553844495
Paid Social,0,0,0,0.01980547296275765
Paid Video,0,0,0,0.022727272727272728
Referral,0,0,0,0.07901907356948229
Unassigned,0,0,0,0.021569993613191663
