# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Twin Birds UA
# Property: Twin Birds GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251101
# End date: 20260505
Session primary channel group (Default channel group),Sessions,Engaged sessions,New users,Total users,Engagement rate,Average engagement time per session,Event count,Key events,User key event rate,Total revenue,Bounce rate,Average session duration
Cross-network,652666,391697,430832,474912,0.6001492340645904,36.826326176022654,5687974,5176,0.010327745446558236,5769524.003067,0.3998507659354095,100.78961769574637
Organic Social,442720,248892,261565,299862,0.5621882905674015,28.102954463317673,4014343,7080,0.022045039436164322,7737114.002532,0.4378117094325985,102.94043014115466
Organic Shopping,159814,105247,84443,113733,0.658559325215563,32.29493661381356,1575895,2678,0.023029058951825006,2740005.001833,0.3414406747844369,119.78376834018923
Unassigned,76833,20363,31563,63444,0.26502934936811007,38.10481173454115,713515,1249,0.01582445226318563,1379034.999951,0.7349706506318899,100.19817270732628
Paid Shopping,76134,56497,52737,62069,0.7420731867496781,48.76461239393701,880086,1431,0.02229088144421618,1516878.999522,0.2579268132503218,140.6937932639031
Direct,72553,46016,60451,62350,0.634239797113834,50.8996457761912,947990,1678,0.026226912076014415,2216411.999813,0.36576020288616595,164.79507639591748
Paid Search,58476,43639,30109,37811,0.7462719748272796,116.21882481701894,1388877,2321,0.05783918531876525,3141052.000484,0.2537280251727204,276.15330080222657
Organic Search,57412,38829,40580,47340,0.6763220232703965,77.70373789451682,885073,1022,0.020504294818509284,1421511.001611,0.3236779767296036,214.16127494527277
Paid Social,32567,18216,17727,22697,0.5593392084011423,33.72769981883502,296275,364,0.015578299067113487,390330.000565,0.44066079159885774,94.78421210440015
Display,2503,1738,2509,2491,0.6943667598881342,11.876947662804634,18920,2,0.0008032128514056225,648.000054,0.30563324011186577,28.59560042349181
Referral,2474,1525,768,1477,0.616410670978173,84.27890056588521,41676,120,0.07736389684813753,167478.999734,0.383589329021827,238.59517845230394
Organic Video,638,437,357,460,0.6849529780564263,87.88557993730407,10874,8,0.017857142857142856,8537.999923,0.31504702194357365,211.74900867241382
Email,108,60,105,106,0.5555555555555556,22.953703703703702,778,1,0.009433962264150943,2396.000016,0.4444444444444444,29.22815549074074
Paid Other,78,36,23,50,0.46153846153846156,27.794871794871796,676,1,0.022222222222222223,925.000007,0.5384615384615384,112.320813974359
Paid Video,59,21,53,54,0.3559322033898305,4.47457627118644,309,0,0,0,0.6440677966101694,50.57451766101695
