title	id	price	condition	availability	channel	feed label	language	additional image link	age group	all clicks	brand	canonical link	color	custom label 0	custom label 1	custom label 2	custom label 3	custom label 4	description	gender	google product category	gtin	identifier exists	image link	item group id	link	material	merchant item id	modification info(modification source:modifier)	mpn	pattern	product detail(attribute name:attribute value:section name)	product type	purchasable without shipping	return policy label	sell on google quantity	shipping(country)	shipping label	shipping weight	size	sku	update type
Grey Sleek Kurti Pants for Women - Twin Birds XL / Anthrazite Grey	shopify_IN_8178766938428_44638397399356	649.00 INR		in stock	Online	IN	en	https://cdn.shopify.com/s/files/1/0705/5556/6396/files/2_8465eb23-5c86-4067-9296-12ecb6a0c375.jpg?v=1760158689,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/3_fbba7db7-2d3d-4466-86a3-2e74342b0047.jpg?v=1760158689,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/4_b568368b-cffc-4d4b-9e95-2c096019e756.jpg?v=1760158689,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/5_5a1b12f4-506f-4b4e-837b-dc8e87e17cc1.jpg?v=1760158689,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/6_853708aa-9044-4ce0-8571-457f49b4ca8e.jpg?v=1760158689,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/7_88445b3c-122f-47fa-90f8-79e240983740.jpg?v=1760158689,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/8_4d5f8483-6f42-425e-872e-ea1213077c1b.jpg?v=1760158689		0	Twin Birds		Anthrazite Grey						Professional Anthrazite Grey sleek pant. Get the pencil-cut look with the comfort of a kurti-specialist fit. Structured for work & daily wear. Buy Twin Birds!					https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_a2caf52a-a127-480d-a384-13a707c7ce72.jpg?v=1760158689	shopify_IN_8178766938428	https://twinbirds.co.in/products/women-sleek-kurti-pant-anthrazite-grey?variant=44638397399356&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic		gid://shopify/ProductVariant/44638397399356	third party shopify:third party syncing			size:XL:Variant,color:Anthrazite Grey:Variant	Sleek Kurti Pant (Cotton)			91			0.2 kg	XL	1904-AnthraziteGrey-XL	
Pepper Mint Churidar legging L / Pepper Mint	shopify_IN_8178670567740_44638162583868	599.00 INR		in stock	Online	IN	en	https://cdn.shopify.com/s/files/1/0705/5556/6396/products/2_af312977-e17a-401b-961d-498d011a11b1.jpg?v=1679651798,https://cdn.shopify.com/s/files/1/0705/5556/6396/products/3_681dbde0-d49f-4942-80e5-1af587195953.jpg?v=1679651798,https://cdn.shopify.com/s/files/1/0705/5556/6396/products/4_2ce403b2-d938-4249-b0dd-0c0fcb4e69b2.jpg?v=1679651798,https://cdn.shopify.com/s/files/1/0705/5556/6396/products/5_b83395a8-771e-40b8-a4c3-598fbd255489.jpg?v=1679651798,https://cdn.shopify.com/s/files/1/0705/5556/6396/products/10_6430399e-19e2-4bb1-ada7-e0f9661d63f6.jpg?v=1679651798		1	Twin Birds		Pepper Mint						Buy Twinbirds Pepper Mint women Churidar legging online. Shop from an exclusive range at Best Prices in India from TwinBirds.  Assured Quality					https://cdn.shopify.com/s/files/1/0705/5556/6396/products/1_d4890264-d01a-4cfd-91a4-fadcf2aa3bf5.jpg?v=1679651798	shopify_IN_8178670567740	https://twinbirds.co.in/products/women-churidar-legging-cotton-pepper-mint?variant=44638162583868&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic		gid://shopify/ProductVariant/44638162583868	third party shopify:third party syncing			size:L:Variant,color:Pepper Mint:Variant	Churidhar Leggings Cotton			32			0.23 kg	L	1503-PepperMint_L	
Cotton Ankle Legging - Mehandi Maroon M / Mehandi Maroon	shopify_IN_8178651857212_44638116217148	549.00 INR		in stock	Online	IN	en	https://cdn.shopify.com/s/files/1/0705/5556/6396/files/2_1a57cca0-b3a2-415b-ad66-235b477ae390.jpg?v=1762329104,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/3_fed29a9e-f457-4436-a0b4-cb7182ea9c7e.jpg?v=1762329104,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/4_de5486ca-ee03-46df-992f-0f7dff5025fc.jpg?v=1762329104,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/5_684c8d15-4c0d-44c4-a65e-e5882713c557.jpg?v=1762329104,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/6_be058994-a483-4755-91b9-24df836d50b9.jpg?v=1762329104,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/7_d8be132e-d45c-421f-b3c9-bd2bae26b0f3.jpg?v=1762329104,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/9_57d4c4dd-1447-4a42-bdc2-b4f3430ce866.jpg?v=1762329104		7	Twin Birds		Mehandi Maroon						Buy Twinbirds Mehandi Maroon Women Ankle Legging online. Shop from an exclusive range at Best Prices in India from TwinBirds.  Assured Quality					https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_d0e57e9a-7ce9-43de-bc23-bb6b00c82dba.jpg?v=1762329104	shopify_IN_8178651857212	https://twinbirds.co.in/products/women-ankle-legging-cotton-mehandi-maroon?variant=44638116217148&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic		gid://shopify/ProductVariant/44638116217148	third party shopify:third party syncing			size:M:Variant,color:Mehandi Maroon:Variant	Ankle Leggings Cotton			69			0.23 kg	M	1502- Mehandi Maroon_M	
Navy Horizon Metallic Straight Pants - Evening Chic | Twin Birds S / Navy Horizon	shopify_IN_8476713353532_45708538708284	599.00 INR		in stock	Online	IN	en	https://cdn.shopify.com/s/files/1/0705/5556/6396/files/2_492ea381-33be-4c02-b67f-606b020b5caa.jpg?v=1761380955,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/3_aa24c92b-8442-4b4d-8000-5c28aa7ec8ab.jpg?v=1761380956,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/4_475b01db-b427-4a64-aebc-2f058bff80c3.jpg?v=1761380955,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/5_c284dede-879d-4c3c-9916-c4c0fa5a82b4.jpg?v=1761380955,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/6_5fbc2fbb-ace9-43a0-94c4-6be706476857.jpg?v=1761380955,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/7_192c1618-e2a9-4fb6-ac83-5f398b7cf7e0.jpg?v=1761380955,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/9_a06682ed-03a4-4d29-ae4c-938b1323e698.jpg?v=1761380956		7	Twin Birds		Navy Horizon						"Trendy navy horizon metallic pant made for festive evenings. Shimmery, comfy & stretch-fit for all-day elegance. Shop Twin Birds festive wear!"					https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_b6496225-9116-4aa1-b5c2-bbcda5507ea7.jpg?v=1761380956	shopify_IN_8476713353532	https://twinbirds.co.in/products/women-metallic-straight-pant-navy-horizon?variant=45708538708284&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic		gid://shopify/ProductVariant/45708538708284	third party shopify:third party syncing			size:S:Variant,color:Navy Horizon:Variant	Metallic Pant			91			0.0002 kg	S	1907-Navy Horizon-S	
Cotton Ankle Legging - Bubble Gum 2XL / Bubble Gum	shopify_IN_8199560233276_44699954217276	549.00 INR		in stock	Online	IN	en	https://cdn.shopify.com/s/files/1/0705/5556/6396/files/2_47df1c47-c122-422c-aa88-918d354097b4.jpg?v=1762329442,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/3_b5f28700-32d3-4c49-bdf4-e1098c88aa09.jpg?v=1762329442,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/4_362b96e1-946c-4eea-aada-90397955a4a7.jpg?v=1762329442,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/5_c731a8d1-7fa3-4f51-aeac-e7db9a2faa60.jpg?v=1762329442,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/6_3b9eaaa5-24a6-4aae-ad2c-512ddb68b540.jpg?v=1762329442,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/7_ab6ff082-9820-417a-b663-582d197128af.jpg?v=1762329442,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/9_3a887231-012d-4e44-827c-d43b563f35e1.jpg?v=1762329442		0	Twin Birds		Bubble Gum						Buy Twinbirds Alphonso Squash Women Ankle Legging online. Shop from an exclusive range at Best Prices in India from TwinBirds.  Assured Quality					https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_a025c493-c957-4f87-a727-95c489e6030d.jpg?v=1762329442	shopify_IN_8199560233276	https://twinbirds.co.in/products/women-ankle-legging-cotton-bubble-gum?variant=44699954217276&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic		gid://shopify/ProductVariant/44699954217276	third party shopify:third party syncing			size:2XL:Variant,color:Bubble Gum:Variant	Ankle Leggings Cotton			33			0.23 kg	2XL	1502-Bubble Gum-2XL	
Ivory Snow Churidar legging XL / Ivory Snow	shopify_IN_8178666733884_44638154359100	599.00 INR		in stock	Online	IN	en	https://cdn.shopify.com/s/files/1/0705/5556/6396/files/2_9a41a668-3eef-41af-87b7-6c92c0afd09d.jpg?v=1762501287,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/3_a9e31e89-3fc8-4837-a96d-91a83fbeee84.jpg?v=1762501287,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/4_5baefa4f-1198-432a-9cb0-018df169cdea.jpg?v=1762501287,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/5_c4d1d19d-08cf-4091-bfd0-cb48fa7e1966.jpg?v=1762501287,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/6_cfd7a679-c798-4f90-90b7-3e21fcef4728.jpg?v=1762501287,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/7_e3cd6e16-146a-4874-81a3-8245afb48ec1.jpg?v=1762501287,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/8_65940ce9-2381-46d9-b91b-58205d66ee72.jpg?v=1762501287		2	Twin Birds		Ivory Snow						Buy Twinbirds Ivory Snow women Churidar legging online. Shop from an exclusive range at Best Prices in India from TwinBirds.  Assured Quality					https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_653c81d6-de81-4a4e-b430-e71248419d4c.jpg?v=1762501286	shopify_IN_8178666733884	https://twinbirds.co.in/products/women-churidar-legging-cotton-ivory-snow?variant=44638154359100&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic		gid://shopify/ProductVariant/44638154359100	third party shopify:third party syncing			size:XL:Variant,color:Ivory Snow:Variant	Churidhar Leggings Cotton			66			0.23 kg	XL	1503-IvorySnow_XL	
"Dark Chocolate Brown Viscose Ankle Leggings for Women - Dark Chocolate, 4-Way Stretchable Slim Fit Daily Wear | Twin Birds, XL / Dark Chocolate"	shopify_IN_8178638192956_44638070047036	549.00 INR	new	in stock	Online	IN	en		adult	3	Twin Birds	https://twinbirds.co.in/products/women-ankle-legging-viscose-dark-chocolate	Dark Chocolate	leggings	viscose	500_700	all_season	bestseller	"<p> <span>Rich, indulgent, and timelessly elegant - Dark Chocolate is the deep brown viscose legging that brings warm, earthy sophistication to your everyday wardrobe. <br> <br>Deep brown is an underutilised alternative to black - in viscose's fluid finish, Dark Chocolate looks richly premium and pairs with a surprising range of colours. <br> <br>Key Features: <br>• Viscose Ankle Leggings for Women - Dark Chocolate (Dark Brown/Chocolate Brown) <br>• Premium Viscose Elastane Fabric - Smooth, fluid drape with a polished, almost-trouser finish <br>• Ankle Length Design - Clean, flattering silhouette that pairs beautifully with kurtis, shirts, long tops <br>• 4-Way Stretch - Unrestricted movement and all-day comfort without sagging or bunching <br>• Mid-Rise Wide Flat Waistband - Sits smoothly with no rolling or digging, secure all-day fit <br>• Breathable & Lightweight - Natural viscose breathability keeps you cool through long days <br>• Shape-Retaining - Durable fabric that holds its form and sheen wash after wash <br>• Premium Daily Wear - Polished finish suitable for office, formal, and everyday occasions <br> <br>Fabric: Viscose Elastane <br>Length: Ankle Length <br>Fit: Tailored Slim Fit <br>Rise: Mid Rise <br>Closure: Pull-On <br>Occasion: Daily Wear, Office Wear, Autumn-Winter Styling <br>Style with: Stunning with cream, beige, caramel, rust, or gold kurtis. A warm, earthy alternative to black for autumn and winter styling. <br>Available sizes: S to 3XL <br>Care: Machine washable | Gentle cycle | Do not bleach | Easy care <br> <br>Best for: Office wear, formal styling, premium daily wear, all seasons <br> <br>Twin Birds | India's Best Leggings Brand | Made in India | Free Shipping above ₹999 | Easy 15-Day Returns | COD Available </span> </p>"	female	Apparel & Accessories > Clothing > Pants			https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_8b1ef731-8221-4596-8a8b-df791824dc4d.jpg?v=1764047462	8178638192956	https://twinbirds.co.in/products/women-ankle-legging-viscose-dark-chocolate?currency=INR&country=IN&variant=44638070047036&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=055f872ea637	Viscose Elastane			1502V-DarkChocolate_XL	Solid		Women > Leggings > Viscose Leggings > Ankle Length		15-day Return & Exchange			Free shipping above ₹999	0.23 kg	XL		
"Printed Night Pant - Tan Brown, L / Tan Brown"	shopify_IN_10030249247036_51707657486652	599.00 INR	new	out of stock	Online	IN	en			3	Twin Birds	https://twinbirds.co.in/products/women-printed-loungewear-pant-tan-brown	Tan Brown						<ul> <li>Subtle printed pants </li> <li>Ultra-soft breathable fabric </li> <li>Adjustable drawstring waistband </li> </ul>	female				https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_d2642474-7f03-45b5-8ba9-607d49ab88fb.jpg?v=1747290602	10030249247036	https://twinbirds.co.in/products/women-printed-loungewear-pant-tan-brown?currency=INR&country=IN&variant=51707657486652&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=055f872ea637				1914-NPP009/TanBrown-L			Printed Night Pant		15-day Return & Exchange			Free shipping above ₹999	0.3 kg	L		merge
Silver Metallic Pants for Women - Elegant Glow | Twin Birds S / Silver String	shopify_IN_8476713713980_45708540346684	599.00 INR		in stock	Online	IN	en	https://cdn.shopify.com/s/files/1/0705/5556/6396/files/2_c12c1866-9785-43e2-bea4-a940148444f3.jpg?v=1761380637,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/3_4aa2f285-9509-496b-9cd2-5b94cd745df0.jpg?v=1761380637,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/4_0cae8924-214f-471b-956e-5cf772317299.jpg?v=1761380637,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/5_bd3480a6-636f-4600-86ec-9e78d67e45d9.jpg?v=1761380637,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/6_df3401b4-3034-4f8e-8071-8e2802f87ccc.jpg?v=1761380637,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/7_ed02d802-98c2-4f1b-a2f6-dd8c2adc79d3.jpg?v=1761380637,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/9_56397e89-b64d-4ec3-a68b-5e33c6ad76ff.jpg?v=1761380637		37	Twin Birds		Silver String						Radiant Silver Shimmer stretch pant. Elevate any ethnic outfit with elegant shine and smooth comfort. Perfect party wear. Buy Twin Birds now!					https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_37b0156c-9294-49d9-a9ce-a472f8464e7d.jpg?v=1761380637	shopify_IN_8476713713980	https://twinbirds.co.in/products/women-metallic-straight-pant-silver-string?variant=45708540346684&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic		gid://shopify/ProductVariant/45708540346684	third party shopify:third party syncing			size:S:Variant,color:Silver String:Variant	Metallic Pant			42			0.0002 kg	S	1907-Silver String-S	
Fuchsia Violet Ankle Legging M / Fuchsia Violet	shopify_IN_8178655625532_44638124769596	549.00 INR		in stock	Online	IN	en	https://cdn.shopify.com/s/files/1/0705/5556/6396/files/2_57956422-3034-4534-82df-d66e11d76135.jpg?v=1768198264,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/3_d71c6934-e03f-43d6-9584-2bcf28f401de.jpg?v=1768198263,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/4_71ea65c7-7375-494a-94b1-1b2f6eb09bd5.jpg?v=1768198263,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/5_d0ca42d8-320e-4ad2-970f-bfa89f70017a.jpg?v=1768198263,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/6_ca0719d6-fe70-4adc-a1c0-96cecdfeac5a.jpg?v=1768198263,https://cdn.shopify.com/s/files/1/0705/5556/6396/files/8_795dfde1-1cee-4c75-b4b4-99004218a1df.jpg?v=1768198263		0	Twin Birds		Fuchsia Violet						Buy Twinbirds Fuchsia Violet women Ankle Legging online. Shop from an exclusive range at Best Prices in India from TwinBirds.  Assured Quality					https://cdn.shopify.com/s/files/1/0705/5556/6396/files/1_02332e08-c8d8-493d-98c1-8d082895604d.jpg?v=1768198263	shopify_IN_8178655625532	https://twinbirds.co.in/products/women-ankle-legging-cotton-fuchsia-violet?variant=44638124769596&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic		gid://shopify/ProductVariant/44638124769596	third party shopify:third party syncing			size:M:Variant,color:Fuchsia Violet:Variant	Ankle Leggings Cotton			36			0.23 kg	M	1502-Fuchsia Violet_M	
